INPUT_GENE,TARGET_GENE,R_ROW PCORR
FBgn0015396,FBgn0015396,1
FBgn0015396,FBgn0015615,0.902517446
FBgn0015396,FBgn0037025,0.900773109
FBgn0015396,FBgn0033581,0.90068473
FBgn0015396,FBgn0035769,0.900536383
FBgn0015396,FBgn0011020,0.899449362
FBgn0015396,FBgn0025830,0.897964948
FBgn0015396,FBgn0028387,0.895647324
FBgn0015396,FBgn0015391,0.89559083
FBgn0015396,FBgn0085444,0.882548768
FBgn0015396,FBgn0034249,0.879846621
FBgn0015396,FBgn0033846,0.870281241
FBgn0015396,FBgn0033081,0.870185305
FBgn0015396,FBgn0002783,0.869068986
FBgn0015396,FBgn0039302,0.868535965
FBgn0015396,FBgn0031947,0.867767844
FBgn0015396,FBgn0050020,0.866300642
FBgn0015396,FBgn0000283,0.865492814
FBgn0015396,FBgn0033062,0.864948541
FBgn0015396,FBgn0011692,0.859718426
FBgn0015396,FBgn0004379,0.859252287
FBgn0015396,FBgn0033264,0.858346469
FBgn0015396,FBgn0086707,0.858009525
FBgn0015396,FBgn0259876,0.85127622
FBgn0015396,FBgn0026573,0.848857443
FBgn0015396,FBgn0031493,0.848691858
FBgn0015396,FBgn0026876,0.848490658
FBgn0015396,FBgn0035617,0.848394759
FBgn0015396,FBgn0010328,0.846247863
FBgn0015396,FBgn0035295,0.844456232
FBgn0015396,FBgn0040283,0.844359799
FBgn0015396,FBgn0020887,0.842534809
FBgn0015396,FBgn0261004,0.841779614
FBgn0015396,FBgn0015271,0.840452547
FBgn0015396,FBgn0041702,0.840350611
FBgn0015396,FBgn0035640,0.840245825
FBgn0015396,FBgn0035026,0.840169188
FBgn0015396,FBgn0003268,0.840112723
FBgn0015396,FBgn0038768,0.837729576
FBgn0015396,FBgn0038551,0.836879975
FBgn0015396,FBgn0032051,0.836659813
FBgn0015396,FBgn0013756,0.836559293
FBgn0015396,FBgn0030864,0.836531206
FBgn0015396,FBgn0036733,0.836470398
FBgn0015396,FBgn0260771,0.836438789
FBgn0015396,FBgn0082831,0.835959113
FBgn0015396,FBgn0052452,0.834558284
FBgn0015396,FBgn0002872,0.834338151
FBgn0015396,FBgn0036450,0.834200947
FBgn0015396,FBgn0004107,0.834141885
FBgn0015396,FBgn0031549,0.833273036
FBgn0015396,FBgn0038766,0.833211465
FBgn0015396,FBgn0035766,0.833002471
FBgn0015396,FBgn0266083,0.832764296
FBgn0015396,FBgn0039186,0.832595321
FBgn0015396,FBgn0067629,0.831186755
FBgn0015396,FBgn0031886,0.831130256
FBgn0015396,FBgn0027617,0.831012977
FBgn0015396,FBgn0026326,0.830445934
FBgn0015396,FBgn0036486,0.827604933
FBgn0015396,FBgn0039861,0.827528126
FBgn0015396,FBgn0263831,0.824814351
FBgn0015396,FBgn0035872,0.824476382
FBgn0015396,FBgn0000063,0.824315
FBgn0015396,FBgn0003277,0.824116958
FBgn0015396,FBgn0030354,0.824112915
FBgn0015396,FBgn0016983,0.82395582
FBgn0015396,FBgn0031492,0.822730239
FBgn0015396,FBgn0086694,0.822520319
FBgn0015396,FBgn0003612,0.822494638
FBgn0015396,FBgn0030314,0.822136722
FBgn0015396,FBgn0004913,0.821948749
FBgn0015396,FBgn0023180,0.821808495
FBgn0015396,FBgn0260789,0.821742406
FBgn0015396,FBgn0025185,0.821729321
FBgn0015396,FBgn0034114,0.820947022
FBgn0015396,FBgn0030738,0.820870949
FBgn0015396,FBgn0027783,0.820643465
FBgn0015396,FBgn0261954,0.820528241
FBgn0015396,FBgn0043002,0.819838245
FBgn0015396,FBgn0014879,0.819774625
FBgn0015396,FBgn0002781,0.81962174
FBgn0015396,FBgn0015270,0.819001879
FBgn0015396,FBgn0030241,0.818792548
FBgn0015396,FBgn0000524,0.81874933
FBgn0015396,FBgn0037377,0.818742479
FBgn0015396,FBgn0027951,0.817830612
FBgn0015396,FBgn0042134,0.817762477
FBgn0015396,FBgn0010607,0.817500153
FBgn0015396,FBgn0034643,0.817261112
FBgn0015396,FBgn0033740,0.817235096
FBgn0015396,FBgn0034722,0.817055956
FBgn0015396,FBgn0011763,0.816655879
FBgn0015396,FBgn0001965,0.816413003
FBgn0015396,FBgn0002905,0.816299281
FBgn0015396,FBgn0000581,0.816137991
FBgn0015396,FBgn0027504,0.815708129
FBgn0015396,FBgn0262527,0.815628641
FBgn0015396,FBgn0036386,0.814916843
FBgn0015396,FBgn0034537,0.814077365
FBgn0015396,FBgn0086613,0.813794531
FBgn0015396,FBgn0002542,0.813509068
FBgn0015396,FBgn0014127,0.813484975
FBgn0015396,FBgn0038827,0.811904246
FBgn0015396,FBgn0043456,0.811688762
FBgn0015396,FBgn0030268,0.811659287
FBgn0015396,FBgn0026427,0.811562483
FBgn0015396,FBgn0005696,0.810313696
FBgn0015396,FBgn0024993,0.810296125
FBgn0015396,FBgn0038767,0.810228341
FBgn0015396,FBgn0261573,0.809894687
FBgn0015396,FBgn0032688,0.809592649
FBgn0015396,FBgn0035336,0.808398494
FBgn0015396,FBgn0039013,0.807650303
FBgn0015396,FBgn0037770,0.807575778
FBgn0015396,FBgn0036624,0.807529677
FBgn0015396,FBgn0020616,0.807332475
FBgn0015396,FBgn0010280,0.806916831
FBgn0015396,FBgn0015618,0.806611905
FBgn0015396,FBgn0001169,0.80598033
FBgn0015396,FBgn0086129,0.805680499
FBgn0015396,FBgn0029173,0.805256643
FBgn0015396,FBgn0001612,0.805214824
FBgn0015396,FBgn0040232,0.804207894
FBgn0015396,FBgn0011335,0.804179362
FBgn0015396,FBgn0027548,0.803113697
FBgn0015396,FBgn0027490,0.802987003
FBgn0015396,FBgn0026722,0.802984548
FBgn0015396,FBgn0000996,0.802727107
FBgn0015396,FBgn0031875,0.802547625
FBgn0015396,FBgn0028474,0.802519045
FBgn0015396,FBgn0259113,0.802487984
FBgn0015396,FBgn0263933,0.80235868
FBgn0015396,FBgn0037344,0.802245854
FBgn0015396,FBgn0023509,0.802243277
FBgn0015396,FBgn0030054,0.802242335
FBgn0015396,FBgn0031655,0.801993448
FBgn0015396,FBgn0030500,0.801604785
FBgn0015396,FBgn0086356,0.801467989
FBgn0015396,FBgn0034240,0.800659415
FBgn0015396,FBgn0039338,0.800390252
FBgn0015396,FBgn0033806,0.800293999
FBgn0015396,FBgn0024555,0.800219035
FBgn0015396,FBgn0001990,0.800147753
